Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Breast cancer,18/147,0.8371295551037486,0.9999956867632058,0,0,0.8039889740827577,0.1429302939136935,APC2;WNT5B;FZD4;FZD7;WNT5A;TCF7;WNT9B;AXIN2;ESR1;DLL1;DLL4;CCND1;HEY1;CDK4;TRP53;KIT;ERBB2;DVL2
KEGG_2019_Mouse,Serotonergic synapse,16/132,0.8373781743406148,0.9999956867632058,0,0,0.7948170230745757,0.1410637193721433,MAOB;MAOA;CYP2C29;CYP2C38;GNGT1;CYP2C37;CYP2D12;CYP2C68;CYP2C23;CYP2C55;CYP2C54;CASP3;CYP2C40;CYP2C50;KCNN2;CYP2C70
KEGG_2019_Mouse,NF-kappa B signaling pathway,12/102,0.8410651747973263,0.9999956867632058,0,0,0.7684568320870157,0.1330092154690447,CARD10;PIDD1;CXCL12;CSNK2A1;PARP1;PLAU;TRADD;BLNK;XIAP;LTB;TICAM1;TIRAP
KEGG_2019_Mouse,Hepatitis B,20/163,0.8451588949304603,0.9999956867632058,0,0,0.8057450388738733,0.1355509938691906,ATF6B;STAT1;STAT2;TYK2;TICAM1;TIRAP;NFATC4;CCNA2;MAVS;CCNE2;IRF3;TRP53;CASP3;CDK2;CYCT;BIRC5;FADD;BID;IKBKE;MAP2K6
KEGG_2019_Mouse,Viral myocarditis,10/87,0.8455158676022955,0.9999956867632058,0,0,0.7485619000564653,0.125614932603035,H2-T24;H2-T22;H2-BL;CCND1;CASP3;CYCT;H2-Q2;BID;H2-Q1;MYH7
KEGG_2019_Mouse,Kaposi sarcoma-associated herpesvirus infection,27/216,0.8518997247580294,0.9999956867632058,0,0,0.8227341500317243,0.1318731386913471,H2-T24;H2-T22;H2-BL;TRADD;H2-Q2;H2-Q1;C3;GNGT1;CCND1;CASP3;FADD;CCR5;BID;CCR4;IKBKE;MAP2K6;ATG3;STAT1;STAT2;TYK2;TICAM1;NFATC4;IRF3;CDK4;TRP53;CYCT;CLEC2H
KEGG_2019_Mouse,Adherens junction,8/72,0.8529468529489258,0.9999956867632058,0,0,0.7205532926001358,0.1146097940548713,CSNK2A1;TCF7;ERBB2;SNAI2;ACP1;MET;NECTIN3;PTPRF
KEGG_2019_Mouse,Regulation of lipolysis in adipocytes,6/56,0.8537855331147768,0.9999956867632058,0,0,0.6918317503392131,0.1093614761433035,ADCY9;ADRB3;IRS1;PDE3B;AQP7;CGA
KEGG_2019_Mouse,Notch signaling pathway,5/49,0.8685172953674077,0.9999956867632058,0,0,0.655152748235149,0.0923554281074867,DLL4;HDAC2;DTX3L;DVL2;DLL1
KEGG_2019_Mouse,Progesterone-mediated oocyte maturation,10/90,0.8733622813889326,0.9999956867632058,0,0,0.7203634510869565,0.0975406868982013,CCNA2;CCNB1;ADCY9;PDE3B;PLK1;CDK2;CDK1;BUB1;AURKA;MAD2L1
