Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Cytosolic DNA-sensing pathway,6/61,0.1751938505903416,0.3652117962306353,0,0,1.6550320725503207,2.882837807734372,NFKBIA;CXCL10;IL6;IL1B;CCL5;CCL4
KEGG_2019_Mouse,Amino sugar and nucleotide sugar metabolism,5/49,0.1851419061752289,0.3804675301161094,0,0,1.7236076322381022,2.9070929730221526,HKDC1;GFPT2;PGM2;HK2;HK1
KEGG_2019_Mouse,Kaposi sarcoma-associated herpesvirus infection,17/216,0.1853199777687322,0.3804675301161094,0,0,1.297625607579633,2.187370294664658,LYN;CCR1;JUN;CDKN1A;SYK;CXCL1;FOS;PTGS2;CXCL2;PIK3R5;NFKBIA;RCAN1;ZFP36;IL6;UBB;MYC;MAPKAPK2
KEGG_2019_Mouse,Basal cell carcinoma,6/63,0.1941155572473763,0.394183932134679,0,0,1.5967900285994792,2.6176205147537868,CDKN1A;GADD45B;GADD45A;WNT7B;FZD9;GADD45G
KEGG_2019_Mouse,Calcium signaling pathway,15/189,0.1949101361846752,0.394183932134679,0,0,1.3090911652017128,2.140647691589036,PRKCG;CHRM3;PDGFRA;CAMK1D;PRKCB;PDE1B;NOS3;SPHK1;PTAFR;ADCY3;CXCR4;SLC8A1;SLC8A2;BDKRB2;CD38
KEGG_2019_Mouse,Aldosterone-regulated sodium reabsorption,4/38,0.2071795405269135,0.4128357020793644,0,0,1.7839485591807571,2.8082374401580563,PRKCG;PRKCB;FXYD2;SGK1
KEGG_2019_Mouse,Pyruvate metabolism,4/38,0.2071795405269135,0.4128357020793644,0,0,1.7839485591807571,2.8082374401580563,LDHC;PKM;ME3;PCK1
KEGG_2019_Mouse,Morphine addiction,8/92,0.209840167160464,0.4150852941641295,0,0,1.4449731151599552,2.256194238912065,PRKCG;GRK5;PRKCB;PDE1B;GABRA5;PDE4B;ADCY3;PDE7B
KEGG_2019_Mouse,Gastric cancer,12/150,0.2198274984026656,0.4316902323704521,0,0,1.319797314056908,1.99937697124664,CDKN1A;CDKN2B;TGFB1;GADD45B;TGFB3;GADD45A;MYC;HGF;WNT7B;FZD9;FGF21;GADD45G
KEGG_2019_Mouse,Fat digestion and absorption,4/40,0.2339084379110021,0.4527799048134399,0,0,1.6846603688708952,2.4475175952582884,LIPF;PLA2G2D;APOA4;PLPP1
KEGG_2019_Mouse,Ferroptosis,4/40,0.2339084379110021,0.4527799048134399,0,0,1.6846603688708952,2.4475175952582884,GCLC;HMOX1;SLC3A2;SAT1
KEGG_2019_Mouse,Insulin signaling pathway,11/139,0.2433250036063056,0.4632117662356849,0,0,1.3039685973127035,1.8429734914503668,LIPE;SOCS3;G6PC;SOCS1;HKDC1;CBLB;IRS2;SORBS1;PCK1;HK2;HK1
KEGG_2019_Mouse,Fc epsilon RI signaling pathway,6/68,0.2444253969435533,0.4632117662356849,0,0,1.4676242053214033,2.067655231365361,VAV3;LYN;FCER1G;SYK;GAB2;LAT
KEGG_2019_Mouse,Renal cell carcinoma,6/68,0.2444253969435533,0.4632117662356849,0,0,1.4676242053214033,2.067655231365361,CDKN1A;JUN;TGFB1;TGFB3;HGF;SLC2A1
KEGG_2019_Mouse,Mucin type O-glycan biosynthesis,3/28,0.2494792811553628,0.4695061471743286,0,0,1.8190291262135925,2.525502582660811,GALNT6;GALNT15;GALNT18
KEGG_2019_Mouse,Endocrine and other factor-regulated calcium reabsorption,5/55,0.2533381512483874,0.4718517210611562,0,0,1.5162884927066451,2.081909765735501,PRKCG;PRKCB;FXYD2;BDKRB2;SLC8A1
KEGG_2019_Mouse,Viral carcinogenesis,17/229,0.2542079382838701,0.4718517210611562,0,0,1.217201154926968,1.667081978758405,LYN;EGR2;JUN;CDKN1A;CDKN2B;EGR3;GSN;SYK;CDKN2A;NFKBIA;PKM;MAPKAPK2;TRAF5;RASA2;REL;MDM2;PMAIP1
KEGG_2019_Mouse,cGMP-PKG signaling pathway,13/172,0.2689573262409422,0.4958328939543902,0,0,1.240553212882309,1.6290976431560429,KCNJ8;ROCK2;NOS3;ADCY3;IRS2;SLC8A1;SLC8A2;PIK3R5;GNA13;FXYD2;BDKRB2;GTF2IRD1;MEF2D
KEGG_2019_Mouse,Adipocytokine signaling pathway,6/71,0.2762608349746906,0.5058559883658188,0,0,1.3996631106120156,1.8005403495960743,NFKBIA;SOCS3;G6PC;SLC2A1;IRS2;PCK1
KEGG_2019_Mouse,Arrhythmogenic right ventricular cardiomyopathy (ARVC),6/72,0.287084181512815,0.5161644866808899,0,0,1.3783823637838235,1.7201933340737063,GJA1;ITGB3;ITGA2;ITGA11;SLC8A1;ACTG1
KEGG_2019_Mouse,Hepatitis C,12/160,0.2887031279729659,0.5161644866808899,0,0,1.2299610123571003,1.5280498834114404,NFKBIA;SOCS3;CXCL10;CDKN1A;RNASEL;RSAD2;FASL;APAF1;MYC;MX2;EIF2AK3;PPP2R2A
KEGG_2019_Mouse,Wnt signaling pathway,12/160,0.2887031279729659,0.5161644866808899,0,0,1.2299610123571003,1.5280498834114404,PRKCG;FOSL1;JUN;MMP7;PRKCB;ROCK2;MYC;WNT7B;FZD9;PRICKLE2;CSNK1E;PPARD
KEGG_2019_Mouse,Endometrial cancer,5/58,0.2895092323819013,0.5161644866808899,0,0,1.4302314913917005,1.772869320464813,CDKN1A;GADD45B;GADD45A;MYC;GADD45G
KEGG_2019_Mouse,Aldosterone synthesis and secretion,8/102,0.2974495787061372,0.5243948461180369,0,0,1.29056121126225,1.5648190862716207,PRKCG;NR4A2;LIPE;NR4A1;CAMK1D;PRKCB;CYP21A1;ADCY3
KEGG_2019_Mouse,Thyroid hormone synthesis,6/73,0.2979955952109877,0.5243948461180369,0,0,1.3577368631296074,1.6437802135175434,PRKCG;GPX3;PRKCB;FXYD2;ADCY3;LRP2
KEGG_2019_Mouse,Serotonergic synapse,10/132,0.3018056150894802,0.527673043156446,0,0,1.24311382037909,1.4892157081099318,PRKCG;CYP2D9;DDC;PRKCB;HTR1F;DUSP1;CYP2J8;CYP2J9;ALOX12;PTGS2
KEGG_2019_Mouse,Biosynthesis of unsaturated fatty acids,3/32,0.3182933433031288,0.5494108027716428,0,0,1.5677937730164044,1.7947818687360295,SCP2;ELOVL3;ACOT2
KEGG_2019_Mouse,beta-Alanine metabolism,3/32,0.3182933433031288,0.5494108027716428,0,0,1.5677937730164044,1.7947818687360295,ALDH1A3;SMOX;EHHADH
KEGG_2019_Mouse,GnRH signaling pathway,7/90,0.3234462016012564,0.549600062621752,0,0,1.2786144578313252,1.443200881741728,MAP3K3;EGR1;JUN;PRKCB;PRKCD;ADCY3;HBEGF
KEGG_2019_Mouse,Protein digestion and absorption,7/90,0.3234462016012564,0.549600062621752,0,0,1.2786144578313252,1.443200881741728,COL13A1;FXYD2;SLC3A2;KCNN4;SLC38A2;SLC8A1;SLC8A2
KEGG_2019_Mouse,Pancreatic secretion,8/105,0.3253071411697142,0.549600062621752,0,0,1.250445953754805,1.404232666069527,PRKCG;CHRM3;PLA2G2D;PRKCB;FXYD2;CD38;ADCY3;CLCA3A1
KEGG_2019_Mouse,Long-term depression,5/61,0.3265151663546202,0.549600062621752,0,0,1.3533948830747855,1.5148263089644451,PRKCG;GNA13;LYN;PRKCB;IGF1R
